CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents
01/21/2018,2141,1F,2500 BOYD ST,HOMICIDE,,FIREARM,842,SOUTHWESTERN,Shipley Hill,-76.65671,39.28627,"(39.28627, -76.65671)",Street,1
01/21/2018,1624,1F,3400 AUCHENTOROLY TER,HOMICIDE,,FIREARM,732,WESTERN,Parkview/Woodbrook,-76.64841,39.31885,"(39.31885, -76.64841)",Street,1
01/21/2018,1624,9S,3400 AUCHENTOROLY TER,SHOOTING,,FIREARM,732,WESTERN,Parkview/Woodbrook,-76.64841,39.31885,"(39.31885, -76.64841)",Street,1
01/20/2018,2313,9S,5100 PARK HEIGHTS AV,SHOOTING,,FIREARM,614,NORTHWESTERN,Central Park Heights,-76.67491,39.34843,"(39.34843, -76.67491)",Street,1
01/20/2018,1128,1F,600 N DUNCAN ST,HOMICIDE,,FIREARM,321,EASTERN,CARE,-76.58719,39.29789,"(39.29789, -76.58719)",Common Bus,1
01/20/2018,425,1F,500 GOLD ST,HOMICIDE,,FIREARM,131,CENTRAL,Druid Heights,-76.63747,39.30897,"(39.30897, -76.63747)",Street,1
01/19/2018,2133,1K,2300 ROBB ST,HOMICIDE,,KNIFE,342,EASTERN,East Baltimore Midway,-76.6003,39.31625,"(39.31625, -76.6003)",Dwelling,1
01/19/2018,2113,9S,400 29TH DIVISION ST,SHOOTING,,FIREARM,132,CENTRAL,Madison Park,-76.62399,39.30234,"(39.30234, -76.62399)",Street,1
01/17/2018,12:27,9S,900 N PAYSON ST,SHOOTING,,FIREARM,722,WESTERN,Bridgeview/Greenlawn,-76.64931,39.29906,"(39.29906, -76.64931)",Street,1
01/16/2018,1917,9S,4400 PIMLICO RD,SHOOTING,,FIREARM,533,NORTHERN,Greenspring,-76.66504,39.34028,"(39.34028, -76.66504)",Street,1
01/15/2018,925,9S,2500 E MONUMENT ST,SHOOTING,,FIREARM,323,EASTERN,Milton-Montford,-76.58224,39.29887,"(39.29887, -76.58224)",Street,1
01/13/2018,2350,9S,1200 N BROADWAY,SHOOTING,,FIREARM,313,EASTERN,Gay Street,-76.59476,39.3037,"(39.3037, -76.59476)",Street,1
01/13/2018,1813,9S,5600 LOCH RAVEN BLVD,SHOOTING,,FIREARM,415,NORTHEASTERN,Loch Raven,-76.58856,39.35952,"(39.35952, -76.58856)",Street,1
01/13/2018,1519,9S,1200 RIGGS AV,SHOOTING,,FIREARM,743,WESTERN,Sandtown-Winchester,-76.63788,39.30118,"(39.30118, -76.63788)",Street,1
01/12/2018,2245,1F,2900 MOSHER ST,HOMICIDE,,FIREARM,814,SOUTHWESTERN,Franklintown Road,-76.66589,39.2992,"(39.2992, -76.66589)",Street,1
01/12/2018,2156,9S,2000 N LONGWOOD ST,SHOOTING,,FIREARM,811,SOUTHWESTERN,Walbrook,-76.66766,39.31025,"(39.31025, -76.66766)",Street,1
01/12/2018,1133,1F,1600 W NORTH AV,HOMICIDE,,FIREARM,733,WESTERN,Penn North,-76.6434,39.31005,"(39.31005, -76.6434)",Street,1
01/11/2018,2338,9S,2400 LIBERTY HEIGHTS AV,SHOOTING,,FIREARM,731,NORTHWESTERN,Mondawmin,-76.65517,39.31906,"(39.31906, -76.65517)",Street,1
01/11/2018,2140,9S,1600 OLMSTEAD ST,SHOOTING,,FIREARM,911,SOUTHERN,Curtis Bay,-76.58863,39.22761,"(39.22761, -76.58863)",Public Are,1
01/11/2018,2104,9S,4800 LORELLY AV,SHOOTING,,FIREARM,443,NORTHEASTERN,Frankford,-76.54764,39.3162,"(39.3162, -76.54764)",Public Are,1
01/11/2018,2104,9S,4800 LORELLY AV,SHOOTING,,FIREARM,443,NORTHEASTERN,Frankford,-76.54764,39.3162,"(39.3162, -76.54764)",Public Are,1
01/11/2018,1932,9S,500 E 29TH ST,SHOOTING,,FIREARM,513,NORTHERN,Better Waverly,-76.60936,39.32382,"(39.32382, -76.60936)",Street,1
01/11/2018,50,1F,200 N HILTON ST,HOMICIDE,,FIREARM,842,SOUTHWESTERN,Saint Josephs,-76.67253,39.28957,"(39.28957, -76.67253)",Vehicle,1
01/10/2018,2125,1F,1400 MAY CT,HOMICIDE,,FIREARM,212,SOUTHEASTERN,Dunbar-Broadway,-76.59847,39.2943,"(39.2943, -76.59847)",Public Hou,1
01/10/2018,1926,1F,1400 E COLD SPRING LA,HOMICIDE,,FIREARM,413,NORTHEASTERN,New Northwood,-76.59356,39.34593,"(39.34593, -76.59356)",Parking Lo,1
01/08/2018,2051,9S,2000 CHRISTIAN ST,SHOOTING,,FIREARM,934,SOUTHERN,Carrollton Ridge,-76.64859,39.28214,"(39.28214, -76.64859)",Street,1
01/08/2018,1310,1F,2600 W PATAPSCO AV,HOMICIDE,,FIREARM,923,SOUTHERN,Lakeland,-76.6522,39.25289,"(39.25289, -76.6522)",Street,1
01/06/2018,2347,9S,2100 WASHINGTON BLVD,SHOOTING,,FIREARM,935,SOUTHERN,Carroll Park,-76.64612,39.27224,"(39.27224, -76.64612)",Street,1
01/06/2018,1959,9S,2200 TUCKER LA,SHOOTING,,FIREARM,821,SOUTHWESTERN,Wakefield,-76.70122,39.31176,"(39.31176, -76.70122)",Public Are,1
01/06/2018,1807,9S,3400 N CALVERT ST,SHOOTING,,FIREARM,512,NORTHERN,Charles Village,-76.61495,39.3296,"(39.3296, -76.61495)",Hospital,1
01/06/2018,1145,1F,6100 MACBETH DR,HOMICIDE,,FIREARM,522,NORTHERN,Glen Oaks,-76.59846,39.36772,"(39.36772, -76.59846)",Street,1
01/04/2018,612,9S,3600 BELAIR RD,SHOOTING,,FIREARM,432,NORTHEASTERN,Belair-Edison,-76.57009,39.32435,"(39.32435, -76.57009)",Street,1
01/03/2018,1759,1F,2000 LINDEN AV,HOMICIDE,,FIREARM,133,CENTRAL,Reservoir Hill,-76.63251,39.31059,"(39.31059, -76.63251)",Parking Lo,1
01/02/2018,2345,1F,500 RICHWOOD AV,HOMICIDE,,FIREARM,524,NORTHERN,Richnor Springs,-76.60955,39.34705,"(39.34705, -76.60955)",Street,1
01/02/2018,2043,9S,4200 SHELDON AV,SHOOTING,,FIREARM,442,NORTHEASTERN,Belair-Edison,-76.56462,39.32861,"(39.32861, -76.56462)",Alley,1
01/01/2018,2047,9S,6200 SHIPVIEW WY,SHOOTING,,FIREARM,243,SOUTHEASTERN,O'Donnell Heights,-76.54173,39.27663,"(39.27663, -76.54173)",Street,1
01/01/2018,1742,1F,5100 GOODNOW RD,HOMICIDE,,FIREARM,443,NORTHEASTERN,Frankford,-76.54379,39.32599,"(39.32599, -76.54379)",Parking Lo,1
01/01/2018,1742,9S,5100 GOODNOW RD,SHOOTING,,FIREARM,443,NORTHEASTERN,Frankford,-76.54379,39.32599,"(39.32599, -76.54379)",Parking Lo,1
01/01/2018,1539,1F,2000 EAGLE ST,HOMICIDE,,FIREARM,934,SOUTHERN,Carrollton Ridge,-76.64759,39.28094,"(39.28094, -76.64759)",Street,1
07/14/2018,19:18:00,9S,1400 Barnes St,SHOOTING,,FIREARM,313,EASTERN,Gay Street,-76.59867,39.30123,"(39.301230000000, -76.598670000000)",Street,1
07/14/2018,19:18:00,9S,1400 Barnes St,SHOOTING,,FIREARM,313,EASTERN,Gay Street,-76.59867,39.30123,"(39.301230000000, -76.598670000000)",Street,1
07/11/2018,20:10:00,9S,1800 N WOLFE ST,SHOOTING,,FIREARM,331,EASTERN,Broadway East,-76.59169,39.31117,"(39.311170000000, -76.591690000000)",Alley,1
07/11/2018,16:22:00,9S,300 S CATHERINE ST,SHOOTING,,FIREARM,842,SOUTHWESTERN,Shipley Hill,-76.65599,39.28388,"(39.283880000000, -76.655990000000)",Street,1
07/10/2018,19:06:00,1F,1500 WHITELOCK ST,HOMICIDE,,FIREARM,733,WESTERN,Penn North,-76.64047,39.31099,"(39.310990000000, -76.640470000000)",Street,1
07/10/2018,19:06:00,9S,1500 WHITELOCK ST,SHOOTING,,FIREARM,733,WESTERN,Penn North,-76.64047,39.31099,"(39.310990000000, -76.640470000000)",Street,1
07/10/2018,15:13:00,1F,500 W HOFFMAN ST,HOMICIDE,,FIREARM,123,CENTRAL,Upton,-76.62663,39.30035,"(39.300350000000, -76.626630000000)",Public Are,1
07/10/2018,02:43:00,1F,2400 W GARRISON AV,HOMICIDE,,FIREARM,532,NORTHERN,Cylburn,-76.6603,39.34996,"(39.349960000000, -76.660300000000)",Public Are,1
07/09/2018,22:33:00,9S,300 WHITRIDGE AV,SHOOTING,,FIREARM,513,NORTHERN,Harwood,-76.61232,39.32149,"(39.321490000000, -76.612320000000)",Street,1
07/09/2018,11:57:00,1F,800 N BELNORD AV,HOMICIDE,,FIREARM,323,EASTERN,Madison-Eastend,-76.5789,39.3004,"(39.300400000000, -76.578900000000)",Street,1
07/09/2018,06:53:00,1F,100 CHERRY HILL RD,HOMICIDE,,FIREARM,922,SOUTHERN,Cherry Hill,-76.61759,39.25233,"(39.252330000000, -76.617590000000)",Dwelling,1
07/09/2018,02:01:00,1F,400 N HAVEN ST,HOMICIDE,,FIREARM,223,SOUTHEASTERN,Baltimore Highlands,-76.56309,39.29651,"(39.296510000000, -76.563090000000)",Parking Lo,1
07/09/2018,00:10:00,9S,4300 REISTERSTOWN RD,SHOOTING,,FIREARM,613,NORTHWESTERN,Towanda-Grantley,-76.66774,39.3386,"(39.338600000000, -76.667740000000)",Street,1
07/08/2018,21:44:00,9S,5300 FRANKFORD AV,SHOOTING,,FIREARM,444,NORTHEASTERN,Frankford,-76.54079,39.32441,"(39.324410000000, -76.540790000000)",Parking Lo,1
07/08/2018,20:48:00,1F,4100 FREDERICK AV,HOMICIDE,,FIREARM,833,SOUTHWESTERN,Irvington,-76.68381,39.28169,"(39.281690000000, -76.683810000000)",Street,1
07/08/2018,11:29:00,9S,3400 EDMONDSON AV,SHOOTING,,FIREARM,844,SOUTHWESTERN,Edgewood,-76.67434,39.29414,"(39.294140000000, -76.674340000000)",Street,1
07/14/2018,19:18:00,9S,1400 Barnes St,SHOOTING,,FIREARM,313,EASTERN,Gay Street,-76.59867,39.30123,"(39.301230000000, -76.598670000000)",Street,1
07/14/2018,19:18:00,9S,1400 Barnes St,SHOOTING,,FIREARM,313,EASTERN,Gay Street,-76.59867,39.30123,"(39.301230000000, -76.598670000000)",Street,1
07/11/2018,20:10:00,9S,1800 N WOLFE ST,SHOOTING,,FIREARM,331,EASTERN,Broadway East,-76.59169,39.31117,"(39.311170000000, -76.591690000000)",Alley,1
07/11/2018,16:22:00,9S,300 S CATHERINE ST,SHOOTING,,FIREARM,842,SOUTHWESTERN,Shipley Hill,-76.65599,39.28388,"(39.283880000000, -76.655990000000)",Street,1
